Date,Rating,Title,Review
"November 22, 2019",5,Your customer care is very efficient…,"Your customer care is very efficient and helpful and make it convenient to shop online with ASOS. I now have more confident shopping with ASOS. In fact, this was my first purchase and I would love to shop from ASOS more often for the convenience of refund and return. Thank you Georgia."
"November 22, 2019",1,awful customer service,"problems with student discount for the past 2 years. ASOS are slow to reply and because you can never speak to the same person twice, they repeat themselves each time meaning your problem doesn’t get resolved. No online chat either. When calling customer services they have given me false information and didn’t want to help, just told me to email them, again being fobbed off each time, it’s a joke."
"November 22, 2019",5,Great fast service,Kieran was helpful and understanding. He resolved my issue in just 6 mins. Perfect service
"November 22, 2019",5,Was polite and able to answer my…,Was polite and able to answer my questions
"November 22, 2019",5,Customer service was brilliant Julyan…,"Customer service was brilliant Julyan was understanding, clear and offered good solutions"
"November 22, 2019",5,Speedy Service!,Speedy Service!!Nisha was so understanding and got to be very quickly. They were very quick and had everything complete for me in a little over five minutes! Splendid service!
"November 22, 2019",5,Scott,"Scott, was most helpful in providing information on a return. He was thorough and super pleasant even at 2am. I think your company is lucky to have him on staff. I will be returning one of my two purchases tomorrow. He made it easy and will be sending me a link. I will be reordering a different item though and feel safe in doing so because of the return policy that Scott conveyed.Thanks."
"November 22, 2019",1,complain on CS and delivery service,"complain on CS and delivery service that is a terrible experience ii have. she is not responsible, while ASOS promise to give delivery in 7 days, now they ask me wait for 2 weeks. and not able to help any. how come a cs keep answering i cannot help in the conversation? so who can help me?"
"November 22, 2019",5,Good service,Good service. Good store. Good help!
"November 22, 2019",5,Just caught Johnny at the end of his…,"Just caught Johnny at the end of his shift for my missing delivery. He was approachable, friendly yet professional and efficient. Managed to sort the issue and inform the relevant department. Great job!"
"November 22, 2019",5,Robyn was very helpful and polite,"Robyn was very helpful and polite. Generally asos's customer care and its team is always helpful and quick, in this case it was Robyn and many thanks for that!"
"November 22, 2019",1,Bad customer service & not willing to fix their mistake!!,"I ordered & paid for my products, however was sent the wrong product which was lesser value than the product I paid for. When contacting customer service I was advised I would have to send back the product sent to me in error pay for it out of my pocket & reorder the actual product I ordered in the first place. The product I did not receive was more expensive that the product I received however I was still told I’d have to reorder(& pay again) & until I sent back the incorrect product THEY sent I would be out of pocket! Not happy at all!! I tried to speak to someone in customer service but was not offered any apology! Really crap customer service & will be returning all items & wont be ordering from this store again!!!"
"November 22, 2019",5,I loved Benjamin,I loved Benjamin. He was informative and a pleasure to talk to. Give him a raise. These are the type of people you need to hire.
"November 22, 2019",5,got prompt response to my query,got prompt response to my query. very happy.
"November 22, 2019",5,Feedback,Charlie’s explaination was clear and helpful. Thank you!
